id,train_id,timestamp,current_station,next_station,status,speed_kmph,position_m,delayed_minutes,actual_arrival,actual_departure,eta,etd,train_no,from_code,to_code
"1","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","74.87","35.29","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:48:58 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:49:09 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"2","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","42.37","11330.02","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 10:37:24 GMT+0530 (India Standard Time)","Fri Sep 19 2025 18:44:42 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"3","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","118.23","178537.62","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:33:35 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:33:57 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"4","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","118.42","14822.49","20","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:55:50 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:54:48 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"5","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","116.43","80471.12","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:31:45 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:24:55 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"6","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","71.51","14840.20","8","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:59:19 GMT+0530 (India Standard Time)","Fri Sep 19 2025 17:34:23 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"7","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","40.19","19554.22","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:50:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:18:53 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"8","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","71.88","53750.21","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:55:44 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:57:33 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"9","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","114.39","45712.57","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:24:22 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:49:48 GMT+0530 (India Standard Time)","null","FRT7890","NDLS","JP"
"10","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","119.56","223053.39","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:51:58 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:54:14 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"11","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","67.74","223225.36","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 10:55:28 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:24:57 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"12","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","116.91","212506.18","29","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:54:39 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:23:26 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"13","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","103.61","1080.20","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:39:32 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:57:59 GMT+0530 (India Standard Time)","null","FRT7890","NDLS","JP"
"14","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","95.33","197328.66","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:04:51 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:29:06 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"15","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","66.44","67340.77","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:26:13 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:11:07 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"16","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","106.64","8316.69","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:09:09 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:24:19 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"17","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","47.35","8.94","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:44:08 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:54:00 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"18","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","43.66","58506.62","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:07:25 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:10:20 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"19","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","101.59","61081.41","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:57:51 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:04:13 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"20","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","88.55","247099.68","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:51:51 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:58:52 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"21","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","47.13","12258.47","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:03:46 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:18:47 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"22","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","106.22","27581.14","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:54:25 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:28:09 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"23","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","57.99","115039.09","28","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:14:01 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:53:07 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"24","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","65.23","15328.13","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 10:39:30 GMT+0530 (India Standard Time)","Fri Sep 19 2025 18:44:32 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"25","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","48.40","1370.25","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 10:39:29 GMT+0530 (India Standard Time)","Fri Sep 19 2025 18:56:58 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"26","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","94.24","119102.73","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:28:30 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:53:49 GMT+0530 (India Standard Time)","null","FRT7890","NDLS","JP"
"27","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","45.16","11324.17","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:18:01 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:05:05 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"28","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","104.04","137378.22","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:59:41 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:19:14 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"29","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","65.73","119772.62","5","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:36:35 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:17:14 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"30","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","61.68","238134.81","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 10:42:29 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:04:02 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"31","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","102.14","182763.88","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:14:58 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:35:50 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"32","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","102.20","5641.99","17","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:43:06 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:08:44 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"33","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","77.39","49982.41","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:46:00 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:13:23 GMT+0530 (India Standard Time)","null","FRT7890","NDLS","JP"
"34","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","104.05","213264.49","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:16:20 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:18:50 GMT+0530 (India Standard Time)","null","FRT7890","NDLS","JP"
"35","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","3","1","enroute","65.93","46670.47","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:18:14 GMT+0530 (India Standard Time)","Fri Sep 19 2025 17:37:26 GMT+0530 (India Standard Time)","null","12986","NDLS","JP"
"36","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","114.49","62029.17","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 12:48:37 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:17:01 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"37","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","109.10","69725.75","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:06:21 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:53:27 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"38","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","83.01","7657.87","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:42:55 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:49:42 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"39","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","71.34","140070.67","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 11:45:40 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:54:41 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
"40","1","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","63.10","39630.63","23","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 13:22:37 GMT+0530 (India Standard Time)","Fri Sep 19 2025 16:00:51 GMT+0530 (India Standard Time)","null","12986","AII","JP"
"41","2","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","2","1","enroute","56.44","3441.06","0","Fri Sep 19 2025 14:49:04 GMT+0530 (India Standard Time)","Fri Sep 19 2025 14:03:58 GMT+0530 (India Standard Time)","Fri Sep 19 2025 15:30:32 GMT+0530 (India Standard Time)","null","FRT7890","AII","JP"
