schedule_id,train_id,train_no,train_name,train_type,priority_value,priority_name,final_priority,station_id,station_name,scheduled_arrival,scheduled_departure,platform_no,track_id,order_no,avg_delay_minutes
1,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,1,Jaipur Junction,2025-10-11 03:23:21.315,2025-10-11 03:31:21.315,1,1,1,61.3
2,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,1,Jaipur Junction,2025-10-11 04:47:21.315,2025-10-11 04:51:21.315,2,1,2,61.3
3,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,3,Dahar Ka Balaji,2025-10-11 06:13:21.315,2025-10-11 06:28:21.315,11,1,3,61.3
4,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,3,Dahar Ka Balaji,2025-10-11 07:53:21.315,2025-10-11 08:03:21.315,12,1,4,61.3
5,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,4,Jaipur Gandhinagar,2025-10-11 10:07:21.315,2025-10-11 10:10:21.315,15,1,5,61.3
6,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,5,Durgapura,2025-10-11 10:59:21.315,2025-10-11 11:13:21.315,16,1,6,61.3
7,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,6,Kanakpura,2025-10-11 14:07:21.315,2025-10-11 14:09:21.315,19,1,7,61.3
8,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,6,Kanakpura,2025-10-11 14:56:21.315,2025-10-11 15:02:21.315,19,1,8,61.3
9,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,6,Kanakpura,2025-10-11 16:51:21.315,2025-10-11 16:59:21.315,19,1,9,61.3
10,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,7,Getor Jagatpura,2025-10-11 18:28:21.315,2025-10-11 18:34:21.315,25,1,10,61.3
11,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,7,Getor Jagatpura,2025-10-11 20:32:21.315,2025-10-11 20:39:21.315,25,1,11,61.3
12,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,8,Sanganer,2025-10-11 22:47:21.315,2025-10-11 22:51:21.315,28,1,12,61.3
13,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,8,Sanganer,2025-10-12 01:35:21.315,2025-10-12 01:44:21.315,27,1,13,61.3
14,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,9,Bindayaka,2025-10-12 04:45:18.206,2025-10-12 04:51:18.206,31,1,14,61.3
15,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,9,Bindayaka,2025-10-12 05:50:21.315,2025-10-12 06:05:21.315,34,1,15,61.3
16,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,9,Bindayaka,2025-10-12 07:41:21.315,2025-10-12 07:48:21.315,33,1,16,61.3
17,149,35213,Antyodaya Express,SUPERFAST,1,SUPERFAST (Highest),3.04,10,Khatipura,2025-10-12 10:05:21.315,2025-10-12 10:17:21.315,38,1,17,61.3
